#Name: register
#Label: Register Usage
#Description: View read and written registers.
0	1	00008528	read r13, write r12
0	1	0000852c	read r13, r11, r12, r14, r15, write r13
0	1	00008530	read r12, write r11
0	1	00008534	read r13, write r13
0	1	00008538	write r3
0	1	0000853c	read r11, r3
0	1	00008540	read r15, write r2
0	1	00008544	write r1
0	1	00008548	read r11, write r3
0	1	0000854c	read r2, r3, write r3
0	1	00008550	read r3, r1, write r2
0	1	00008554	write r3
0	1	00008558	read r2, r3
0	1	0000855c	write r0
0	1	00008560	read r11, write r1
0	1	00008564	write r2
0	1	00008568	write r3
0	1	0000856c	write r14, r14
0	2	00008570	read r0, write r3
0	2	00008574	read r11, r3
0	2	00008578	read r15, write r2
0	2	0000857c	write r1
0	2	00008580	read r11, write r3
0	2	00008584	read r2, r3, write r3
0	2	00008588	read r3, r1, write r2
0	2	0000858c	read r11, write r3
0	2	00008590	read r3, write r3
0	2	00008594	read r2, r3
0	2	00008598	read r15, write r2
0	2	0000859c	write r1
0	2	000085a0	read r11, write r3
0	2	000085a4	read r2, r3, write r3
0	2	000085a8	read r3, r1, write r2
0	2	000085ac	read r11, write r3
0	2	000085b0	read r2, r3
0	2	000085b4	read r11, write r2
0	2	000085b8	read r11, write r3
0	2	000085bc	read r3, write r3
0	2	000085c0	read r2, write r0
0	2	000085c4	read r3, write r1
0	2	000085c8	write r2
0	2	000085cc	write r3
0	2	000085d0	write r14, r14
0	3	000085d4	read r0, write r3
0	3	000085d8	read r11, r3
0	3	000085dc	write r3
0	3	000085e0	read r3, write r0
0	3	000085e4	read r11, write r13
0	3	000085e8	read r13, write r11, r13, r15
1	1	000082c4	read r13, write r12
1	1	000082c8	read r13, r4, r11, r12, r14, r15, write r13
1	1	000082cc	read r12, write r11
1	1	000082d0	read r13, write r13
1	1	000082d4	read r11, r1
1	1	000082d8	read r11, r3
1	1	000082dc	read r11, r0
1	1	000082e0	read r11, r2
1	1	000082e4	read r11, write r3
1	1	000082e8	read r11, r3
1	1	000082ec	read r15, write r3
1	1	000082f0	read r3, write r3
1	1	000082f4	read r3, write sr
1	1	000082f8	read sr, write r14
1	2	00008398	read r11, write r3
1	2	0000839c	read r3, write sr
1	2	000083a0	read sr, write r14
1	3	000083c8	read r11, write r3
1	3	000083cc	read r3, write sr
1	3	000083d0	read sr, write r14
1	4	00008408	write r3
1	4	0000840c	read r11, r3
1	5	000084b8	read r11, write r3
1	5	000084bc	read r3, write sr
1	5	000084c0	read sr, write r14
1	6	000084d0	read r15, write r2
1	6	000084d4	read r11, write r3
1	6	000084d8	read r3, write r3
1	6	000084dc	read r3, write r3
1	6	000084e0	read r2, r3, write r3
1	6	000084e4	read r3, write r1
1	6	000084e8	read r15, write r2
1	6	000084ec	read r11, write r3
1	6	000084f0	read r3, write r3
1	6	000084f4	read r2, r3, write r3
1	6	000084f8	read r3, write r3
1	6	000084fc	read r1, r3, write r3
1	6	00008500	read r11, r3
1	7	000084c4	read r11, write r3
1	7	000084c8	read r11, r3
1	7	000084cc	write r14
1	8	00008504	read r11, write r3
1	8	00008508	read r3, write r0
1	8	0000850c	read r11, write r13
1	8	00008510	read r13, write r4, r11, r13, r15
1	9	00008420	read r11, write r3
1	9	00008424	read r3, write sr
1	9	00008428	read sr, write r14
1	10	0000845c	read r15, write r1
1	10	00008460	read r11, write r0
1	10	00008464	read r11, write r3
1	10	00008468	read r3, write r3
1	10	0000846c	read r3, write r2
1	10	00008470	read r1, r0, write r3
1	10	00008474	read r2, r3, write r3
1	10	00008478	read r3, write r3
1	10	0000847c	read r11, r3
1	11	00008410	read r11, write r2
1	11	00008414	read r11, write r3
1	11	00008418	read r2, r3, write sr
1	11	0000841c	read sr, write r14
1	12	0000842c	read r15, write r0
